description,26FP12B,26FP12C,26FP12D,26FP12E1.3.LA,26FP12E1.3.ME,26FP12E1.3.YE,26FP12E1.TE,26FP12E2.TE,26FP12I,26FP15B,26FP15C,26FP15D,26FP15E1.3.LA,26FP15E1.3.ME,26FP15E1.TE,26FP15E2.TE,26FP15E3.TE,26FP15E4.6.LA,26FP16B,26FP16C,26FP16D,26FP16E1.2.LA,26FP16E1.2.ME,26FP16E1.TE,26FP16E1.YE,26FP16I,26FP17B,26FP17C,26FP17D,26FP17E1.2.LA,26FP17E1.2.ME,26FP17E1.TE,26FP17E2.TE,26FP18B,26FP18C,26FP18D,26FP18E1.3.ME,26FP18E1.TE,26FP18E1.YE,26FP18E4.8.LA,26FP3B,26FP3C,26FP3D,26FP3E2.TE,26FP3E3.TE,26FP3E4.LA,26FP3E4.TE,26FP3E9.7.LA,26FP3I,26FP7B,26FP7C,26FP7D,26FP7E1.TE,26FP7E2.TE,26FP7E3.TE,26FP7I,26FP8B,26FP8C,26FP8D,26FP8E1.2.LA,26FP8E1.ME,26FP8E1.TE,26FP8E1.YE,26FP8E2.TE,26FP8I
superpathway of phylloquinol biosynthesis,414.151404,1543.180197,132.832781,0,0,0,1398.23,414.7736,100.061955,45.433415,6053.289759,114.723158,4.159938,0,0,0,7.185903,0,130.92573,193.835162,61.20249,0,9.503118,8.677057,0,0,21.707842,1974.228254,95.46593,304.1173,3.075391,13.045739,4.444894,2468.772624,1003.495,263.902149,0,11.30464,0,0,976.971734,1781.930451,88.405978,20.812973,5.308729,8.591979,9.134568,4.036386,0,23.53017,298.420048,50.482014,18.546092,1.088965,4.891621,1.27347,1907.166084,10469.21491,694.797655,0,0,32.614838,2.960711,7.303673,8.1322801
superpathway of menaquinol-10 biosynthesis,1063.476672,2109.533861,291.768197,0,0,0,35.72429,0,25.186601,110.049772,6745.07394,276.793482,9.214619,0,0,0,8.260288,0,344.987814,470.291178,127.0564,0,0,20.556564,0,0,52.371379,3142.093452,158.1106,26.75954,0,31.747182,10.63958,3031.412746,2223.007,565.470202,0,19.60576,0,0,1572.299854,2714.230871,193.943495,0,0,20.550426,18.57342,5.496807,0,58.85248,694.858452,120.60737,0,2.223862,11.255924,2.761961,3992.789951,10953.12627,1840.031533,0,0,0,0,0,11.9140678
superpathway of menaquinol-11 biosynthesis,1083.610939,2110.843417,337.739856,0,0,0,3541.343,1084.632,212.330477,128.079922,6747.073287,302.452483,10.915642,0,0,0,19.007701,0,359.010194,476.90565,161.1121,0,24.946504,22.893667,0,0,57.224309,3149.713882,246.0796,773.7056,8.084209,34.267034,11.66109,3045.054729,2266.086,667.605933,0,30.00172,0,0,1713.576194,2734.556994,223.336575,54.595825,13.966006,22.886009,23.98776,10.60865,0,62.13398,744.843792,131.338715,48.930816,2.859759,12.86938,3.163562,4021.783831,11569.46029,1909.625811,0,0,84.894925,7.768015,19.27202,19.824636
superpathway of menaquinol-12 biosynthesis,1083.610939,2110.843417,337.739856,0,0,0,3541.343,1084.632,212.330477,128.079922,6747.073287,302.452483,10.915642,0,0,0,19.007701,0,359.010194,476.90565,161.1121,0,24.946504,22.893667,0,0,57.224309,3149.713882,246.0796,773.7056,8.084209,34.267034,11.66109,3045.054729,2266.086,667.605933,0,30.00172,0,0,1713.576194,2734.556994,223.336575,54.595825,13.966006,22.886009,23.98776,10.60865,0,62.13398,744.843792,131.338715,48.930816,2.859759,12.86938,3.163562,4021.783831,11569.46029,1909.625811,0,0,84.894925,7.768015,19.27202,19.824636
superpathway of menaquinol-13 biosynthesis,1083.610939,2110.843417,337.739856,0,0,0,3541.343,1084.632,212.330477,128.079922,6747.073287,302.452483,10.915642,0,0,0,19.007701,0,359.010194,476.90565,161.1121,0,24.946504,22.893667,0,0,57.224309,3149.713882,246.0796,773.7056,8.084209,34.267034,11.66109,3045.054729,2266.086,667.605933,0,30.00172,0,0,1713.576194,2734.556994,223.336575,54.595825,13.966006,22.886009,23.98776,10.60865,0,62.13398,744.843792,131.338715,48.930816,2.859759,12.86938,3.163562,4021.783831,11569.46029,1909.625811,0,0,84.894925,7.768015,19.27202,19.824636
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),26.809827,5.8904838,75.76309,0,1.662693,0,1912.091,609.4252,34.616532,22.570379,11.793762,13.776948,0,133.590233,255.659204,0,12.165229,1.177643,13.8159,0,5.975574,209.504392,0,5.902101,0,0.4891984,0,33.221932,77.08127,1.921564,0,20.418628,59.45047,19.136887,98.02822,106.676035,0,16.63864,0,2.49769,31.813496,131.122204,36.448544,1.599161,7.944587,12.612223,14.57455,0,0,0,41.183314,0,0,0.9323789,15.523733,0,47.907928,6238.159454,110.228663,3.435425,0,0,0,0,0
TCA cycle VI (obligate autotrophs),6202.248399,5344.199713,3763.337779,13824.35117,11458.11595,9296.199,46962.47,64299.91,2258.787329,6000.824106,9637.069699,3287.35123,9690.13769,16972.24483,4238.70593,11015.94113,7388.828138,12344.67,6388.506455,9606.433786,6488.545,9730.934293,13811.95217,18060.68158,8394.417481,16.0950277,7238.395518,10230.39016,11279.65,13100.06,13963.05464,14929.92478,18998.51,5051.41705,7646.379,10848.08545,11142.08055,11428.46,14991.02458,21690.81,4302.372602,4680.411073,3874.985463,17676.54825,12673.09108,16006.76222,60391.39,13524.99,11.640569,6853.293,6644.693835,4968.643295,7266.638905,8243.719,10355.6804,104.807242,11211.47156,11051.56582,13684.8429,12166.68726,6817.145565,4831.668728,10987.08076,7063.994805,664.0637519
superpathay of heme biosynthesis from glutamate,5544.426277,4006.026124,3338.427685,11993.57028,10049.38743,8164.808,41471.77,55517.99,2321.215263,5332.589014,8194.537735,2938.523661,8377.532161,14510.58231,3613.499892,9314.617249,6430.642114,10639.36,5663.390818,4058.598786,5705.929,8340.371325,11798.56029,15704.81314,7236.484141,11.6108281,6815.616147,7508.820763,9175.983,11254.91,12044.03759,12942.33024,16102.46,4286.945405,6700.206,9368.29281,9666.947742,9982.426,13045.57925,18958.42,1969.081327,4104.419702,3169.593672,15215.5797,10950.84098,14014.77123,53121.18,11756.89,9.758198,6053.851,5644.246794,4365.996617,6303.115707,7092.413,8975.473272,52.767588,9907.416446,9980.447645,12064.13264,10526.91936,5877.832604,4183.212702,9514.912956,6046.738835,638.598087
superpathway of heme biosynthesis from glycine,205.834057,23.8968552,227.266211,3411.722431,1688.455683,1407.097,15952.75,19214.21,474.031346,198.049325,23.947567,193.505423,2547.329789,3558.885082,944.328681,4017.788309,1319.436712,2250.541,339.291966,43.677754,345.5384,1350.246037,4678.047824,4526.913097,1794.83366,6.8091559,319.897672,75.44771,484.972,2892.577,2938.980064,3878.509596,7059.576,82.786859,355.8826,906.548154,2245.365571,1793.47,2635.50825,4429.799,1101.056751,203.895363,238.795006,5858.172316,4027.76851,2628.805981,13362.42,2407.719,4.948791,577.4173,277.296133,259.394253,2011.714821,2073.762,2228.202135,32.06497,612.919992,95.324113,963.841282,3819.44163,1829.788668,1481.361237,3605.502036,1901.477114,96.4282744
glycogen degradation II (eukaryotic),260.411187,39.5178786,399.803567,132.455113,210.889058,39.67202,2024.618,2577.989,13.987288,115.120765,43.832467,217.865123,266.556369,304.465858,188.652579,648.154833,73.118565,41.00818,249.800898,181.149584,532.0917,204.472102,31.934002,190.137056,4.957796,0,306.289211,427.17777,1980.102,690.7748,46.586314,385.177637,889.2991,109.358125,1038.869,1458.691383,209.931684,147.7722,68.506514,566.6833,31.934435,485.88011,632.274617,573.164424,287.936311,206.826645,1740.327,288.0836,0,255.1657,568.117884,492.045135,292.600479,219.5156,190.075847,19.230415,682.067975,138.891866,732.908863,64.399188,205.917654,163.913547,447.676516,140.622025,0
palmitate biosynthesis II (bacteria and plants),1686.744939,524.8296551,2501.539446,0,99.395434,0,0,0,3587.605661,362.854882,1074.027752,939.367673,0,8755.16043,5065.809557,0,132.284317,49.85618,1074.035591,0,548.6375,7755.041172,0,296.28405,0,14.964052,0,2346.263952,4816.225,99.47512,0,0,4456.186,1367.460203,4488.952,5721.753763,0,0,0,247.9736,2133.467975,3852.551072,1950.550395,159.019331,0,0,298.8233,0,0,0,2394.19208,0,0,39.85183,697.809254,0,3247.630393,16687.30563,5645.077227,148.752611,0,0,0,0,0
cis-vaccenate biosynthesis,7585.258291,6359.131083,4884.564349,18421.58613,15569.35098,12273.79,71272.04,88567.94,11175.78552,7291.355273,10505.33741,4243.226148,12994.43216,22878.44168,5824.410645,16100.48017,9911.316434,16697.9,7751.307346,11122.85108,8430.22,13179.27297,18324.85768,24027.58436,11262.76813,28.089314,9412.098005,12331.73684,14150.07,17672.18,18638.82389,20231.27775,27365.64,6232.044155,9847.336,14091.8633,14937.8066,15205.22,20019.71239,29541.75,12497.46603,5976.369857,4910.864244,24504.63956,17610.62971,21530.19222,82181.64,18246.52,8.787289,8347.954,8351.454457,6263.203729,10085.23512,11084.97,13932.38476,338.533963,13796.14055,22107.98416,17345.88817,16775.571,9073.718008,6691.699179,14915.31235,9713.227614,1445.190264
stearate biosynthesis II (bacteria and plants),3581.815498,3159.947605,3279.655453,17838.7837,15048.61587,11876.14,66839.16,74172.96,2864.882637,3156.055854,9281.942732,2469.623015,12410.27555,22099.8807,5619.185444,15603.52771,9625.764674,16159.33,3839.460861,1939.996692,5846.27,12737.38088,17534.78309,23000.6804,10926.29488,18.8344791,4682.541438,5762.853234,12390.18,17228.16,17972.3924,19382.51061,26485.66,4208.493882,7524.036,11522.48421,14447.56504,14602.98,19396.94582,28802.53,3431.439911,4970.141195,4141.429968,23860.54399,17080.24839,20879.50118,73766.32,17691.51,4.293995,3839.377,4667.234399,4297.095384,9134.977489,10410.36,13437.71146,70.194183,8823.891438,13016.05147,9860.12169,16357.19988,8687.044792,6475.456803,14306.15723,9486.428699,1313.008331
superpathway of phenylethylamine degradation,799.372422,1917.746733,236.205438,0,0,0,2015.399,1658.061,92.465515,85.091007,7209.823098,225.279097,0,0,49.871987,114.103286,18.572661,0,264.303527,95.685125,138.4199,5.051995,18.237963,110.872169,0,0,55.724903,2798.105397,207.4389,0,15.4409,187.384319,116.8224,104.309669,1927.802,455.981163,0,53.62936,0,329.9528,646.762752,2647.051918,195.627509,134.349351,93.733425,230.708843,1832.989,5.156213,0,78.77147,167.170133,143.354108,194.303835,87.52147,65.988999,0,3144.401866,6063.850759,841.805595,0,0,29.548968,5.143784,35.334086,2.8042219
chlorosalicylate degradation,0,0,0,0,0,0,1774.395,1416.66,17.834295,0,0,0,0,0,63.346778,467.377479,11.976736,0,0,2.997175,0,0,0,37.427804,0,1.4117647,7.496096,0,44.91616,0,4.498375,139.753093,319.8828,2.998915,23.96293,13.492069,0,34.40013,1.499827,269.3406,0,7.490698,29.899787,313.095961,122.613877,179.513641,823.2395,0,0,0,16.472112,0,265.573094,124.3478,37.357804,0,0,0,1.499926,0,0,121.171981,0,51.9063,0
5-aminoimidazole ribonucleotide biosynthesis I,6016.4251,6365.10324,3714.224001,14548.40107,11495.1518,9265.584,50553.08,68321.05,10196.49251,5739.910662,10002.51311,3224.502429,10259.87615,17420.75516,4404.502554,11903.01444,7438.99038,12485.68,6158.230669,11096.4016,6150.543,9797.390343,14852.75865,18465.85923,8513.139472,18.5842096,7850.296013,11925.88384,10038.57,13679.59,14219.65208,15506.07118,20305.33,5433.28585,7297.331,10447.33693,11511.40023,11395.34,15097.49936,22123.23,12011.34442,4609.598275,3484.195384,18766.01121,13247.11339,15866.38566,60540.62,13664.53,13.7534,6633.906,7261.947488,4699.508766,7498.854297,8464.432,10572.24807,334.596148,10822.60839,18549.31305,13190.46792,12732.23438,7124.48323,5138.95969,11885.86094,7297.222445,1095.692614
5-aminoimidazole ribonucleotide biosynthesis II,5438.41552,6210.558251,3362.216211,13205.9153,10396.76877,8371.85,46280.5,62461.95,10197.59123,5178.431461,9263.298959,2914.558132,9328.688771,15825.23014,4004.969357,10898.70856,6734.397932,11319.44,5564.119203,11228.38009,5547.539,8878.170418,13536.1111,16733.95024,7722.567864,17.3197383,7223.680283,11643.81763,9084.102,12423.31,12900.05341,14095.12413,18594.93,5094.620741,6586.381,9474.668959,10440.73904,10313.18,13668.92224,20079.5,11985.12731,4172.993626,3153.019763,17104.16126,12054.40833,14367.76956,55025.65,12373.44,14.084905,5990.036,6864.473348,4241.132079,6829.198438,7700.734,9590.611081,335.679959,9769.040819,17619.77845,11907.62596,11531.04095,6473.222388,4684.116218,10834.08784,6639.937072,1029.430812
inosine-5'-phosphate biosynthesis I,5342.977377,5326.390208,3320.696967,11883.33,9917.329726,7987.08,41750.44,55075.01,9151.549547,5103.469942,8477.135782,2857.99634,8350.952099,14409.5,3717.407745,9412.065064,6331.917006,10498.4,5454.072009,9460.835352,5527.416,8371.74664,11723.5,15434.40628,7137.75,16.9945781,6702.930029,9991.157473,9190.073,11221.13,11858.4999,12782.80405,16369.49,4546.723016,6586.752,9297.139564,9564.748825,9772.553,12818.33329,18697.44,10642.16261,4105.047707,3162.760231,15239.34013,10928.48626,13753.12728,52408.4,11597,11.57,5832.561,6115.502225,4248.959901,6221.706974,7009.245,8839.48855,296.672966,9578.356336,16073.40385,11696.21673,10504.66602,5807.25,4172.688613,9519.75,6027.242945,978.1570377
superpathway of guanosine nucleotides de novo biosynthesis II,6011.606019,4845.775038,3670.069696,14532.75646,12135.11346,9740.24,50035.35,65223.11,4191.890563,5791.55652,9582.344609,3236.474023,10085.18716,17627.90057,4532.050312,11444.54882,7748.908283,12852.22,6138.670452,4109.760559,6298.911,10209.6823,14234.54927,18732.6614,8735.866411,18.6654194,7319.636673,8672.897871,9995.278,13747.78,14474.75641,15475.62842,19891.08,5154.871238,7438.529,10329.36646,11676.73613,11882.2,15681.03772,22780.66,7268.111638,4675.802833,3478.568073,18624.26894,13284.88452,16700.89623,62179.14,14208.16,11.981173,6561.33,6052.169809,4707.048522,7456.437863,8437.547,10760.34586,149.195191,10985.9991,18061.107,13334.24262,12906.73472,7034.890876,5065.375152,11595.24729,7398.240188,888.728427
superpathway of adenosine nucleotides de novo biosynthesis II,6615.710822,6432.438343,4089.80954,14835.77454,12372.94065,9961.253,51367.36,67954.15,11472.08325,6326.431644,10268.35921,3538.280362,10370.03334,17991.36585,4621.705177,11674.49356,7901.616675,13105.76,6759.287179,11450.25645,6903.024,10392.21914,14624.98856,19241.44944,8912.274413,19.424836,8296.407127,12102.0026,11492.87,14000.43,14803.39671,15893.33745,20263.53,5735.605178,8227.737,11608.98907,11928.49011,12179.51,16005.5129,23273.9,12044.44357,5069.327602,3966.251098,18976.46461,13638.14196,17094.67296,64633.17,14483.57,12.988792,7229.769,7555.645126,5321.470542,7696.469027,8695.884,11015.38497,362.222075,11865.87034,20458.74887,14530.3512,13126.34728,7242.980404,5183.624636,11865.84905,7518.544858,1143.51863
CMP-pseudaminate biosynthesis,0,0,0,0,0,0,0,0,3.328251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,5461.741161,5334.711771,3438.771715,13362.77355,11072.18899,8879.016,45995.69,59923.1,5863.394848,5246.328699,8464.640282,2974.115032,9228.461936,16076.47092,4155.206303,10650.97295,7057.908701,11696.18,5634.474164,9526.172382,5845.26,9249.183292,13087.81821,17094.45476,7953.79109,18.3152866,6927.549873,10058.58572,9794.987,12595.54,13179.39307,14212.78841,18353.84,4563.291668,6858.555,9885.009159,10679.28206,10793.94,14269.82259,20939.65,7527.922429,4190.218268,3336.982217,17306.33553,12409.57446,15239.63696,56963.58,12964.9,10.168792,5999.077,6271.615738,4474.409069,6850.012404,7707.225,9829.349078,154.010607,9832.719159,12828.81867,12106.814,11838.60196,6473.049284,4676.935404,10688.44226,6800.604944,931.0787281
S-adenosyl-L-methionine cycle I,5134.558495,5307.765515,3096.812007,6628.915702,5030.05006,4749.512,26482.19,43619.93,8663.806387,4862.23666,8441.222364,2671.599354,5401.433656,8459.44134,2140.883025,5286.387889,3541.392159,5938.178,5204.336552,9383.34818,5082.416,4580.440255,7729.766609,10008.85026,4061.671735,13.7031938,6372.699353,9901.778195,8263.747,6061.057,7191.415736,8325.003672,8941.564,4518.631772,6234.608,8508.0293,5435.641545,6096.836,7285.716927,10840.59,9224.521386,3950.644024,2984.675603,7924.572808,5470.694391,8571.625925,40309.6,6099.697,7.28008,5567.363,5899.32275,3970.041415,4478.286886,4929.381,5480.533242,255.028495,9175.085412,15648.2914,10971.91061,5124.535368,3719.619119,2510.60685,5569.414451,3129.788439,567.8071811
chorismate biosynthesis from 3-dehydroquinate,6120.819735,5624.003787,3990.924421,13609.87384,11422.90584,9192.587,48683.8,63722.73,10902.0202,5826.326007,9271.949673,3336.309286,9602.876009,16605.90242,4277.427897,11027.58372,7285.8283,12090.44,6284.979342,9804.902561,6605.004,9582.213072,13460.22002,17767.97262,8215.710538,19.6151504,7697.144184,10704.83287,11754.41,12870.63,13667.92563,14781.84604,19028.43,5241.791938,7941.771,11490.62349,10994.36062,11285.77,14760.89631,21626.45,11268.0946,4803.161338,4001.083346,17576.30264,12734.19926,15936.62319,60910.41,13366.85,14.629743,6707.882,7021.00634,5147.506467,7268.578343,8132.728,10199.0183,337.10843,10991.89888,17739.23282,13691.0227,11956.61541,6713.645724,4835.250748,10895.07472,6951.263504,1323.534218
chorismate biosynthesis II (archaea),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.049181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of salicylate degradation,360.958956,49.8825611,443.378713,534.60083,507.615779,444.4765,4632.379,7893.586,421.41683,252.430644,55.235381,300.398962,563.594225,1127.77169,231.656565,1228.306654,417.683611,582.1264,537.755374,175.7005,874.4384,435.428061,1262.758505,1540.429417,589.906612,3.6505249,580.160656,299.399769,2601.834,525.418,814.395692,1262.366832,1931.775,95.617067,1109.251,2002.916015,506.411636,552.6769,649.882384,1484.971,37.028776,550.125592,741.133198,1491.00494,1738.651664,1439.372395,7266.973,614.1001,0,425.6364,610.346419,766.887562,851.617339,897.6692,852.292621,13.401409,794.58443,170.035085,889.501997,1286.805872,645.886584,394.000593,616.95788,682.768592,127.8043658
4-methylcatechol degradation (ortho cleavage),319.550379,46.9587263,383.908711,173.019027,475.3583,12.32827,3993.498,3512.381,181.670223,173.632559,52.625377,274.037025,103.166623,292.508443,113.289967,670.029055,107.870987,109.9152,423.29821,152.351398,655.5775,197.138929,30.846115,399.873746,30.398744,2.4507984,489.199714,269.228765,2275.865,146.3671,36.595507,349.809708,824.6777,83.296915,979.3808,1751.592802,235.274632,208.3648,73.948002,923.8674,34.846893,509.194371,634.501704,603.675914,1795.25426,392.499134,3395.174,579.6395,0,301.8505,520.222119,671.20858,427.940588,247.7689,243.005029,9.395172,729.643564,158.132444,777.148306,625.218028,610.737854,197.798619,380.593997,97.819679,99.4946901
sucrose degradation III (sucrose invertase),5287.841964,2311.938841,3211.836554,12314.24918,10559.71017,8458.528,38288.95,50307.23,8646.035982,5086.989813,8942.685924,2817.064089,8458.1898,14897.31109,3705.732062,8947.044852,6667.785302,11068.12,5275.376472,1399.660073,5549.911,8713.937876,11679.607,15904.35948,7428.142958,12.9007092,5576.789277,4054.726941,8722.677,11671.05,12410.24671,12812.44394,15631.12,3658.137249,6770.963,8772.098743,9943.337443,10307.38,13625.21667,19169.33,8075.777083,4561.758897,3023.442351,15217.72112,10969.31346,14028.63552,50375.21,12324.43,20.714267,5726.264,3727.820162,4128.890007,6007.584072,6931.609,9064.183969,274.779357,10124.95942,16073.80411,11926.34163,10685.52121,5875.959874,4128.748971,9421.509396,6126.091251,640.2696548
2-aminophenol degradation,5.454545,0,0,0,0,19.00822,123.966,862.7483,10.885835,14.403379,3.134328,42.240824,25.588543,0,0,210.99284,0,0,4.444444,3.75,48.27746,0,0,26.302488,0,0,18.783679,0,53.6124,0,0,128.695042,0,1.333333,6.666667,44.449929,0,7.479344,0,0,0,8.727273,9.778813,0,0,11.784292,11.98156,0,0,3.813953,7.263403,14.943396,82.473613,0,46.474058,0,6.156379,1.75,12.426443,0,0,0,0,1.984218,0
superpathway of menaquinol-8 biosynthesis II,186.34326,76.9216837,30.919225,0,0,0,0,5.990175,248.3189,58.216934,204.999869,103.255731,5.958785,0,0,0,0,0,107.999688,47.789589,37.3329,0,0,2.908772,0,0,93.454029,394.057698,254.7627,0,0,16.977009,8.468058,315.857518,32.32087,608.532214,0,9.623211,0,24.83056,2292.433509,222.358503,78.905613,8.700413,0,10.281268,22.38881,0,2.280958,27.61615,704.359403,60.097821,16.773683,11.34064,2.666198,18.890123,182.110723,357.011632,39.775985,0,0,8.856052,0,12.399037,23.3154603
adenosylcobalamin salvage from cobinamide II,5169.891875,1887.646308,3107.636879,5413.04814,4371.600138,4335.779,24368.29,39850.33,8496.096541,4902.590813,6753.805418,2620.213852,4626.819035,7001.302016,1710.755697,4420.158154,3100.242775,5027.022,5256.879728,1136.262483,4999.497,3740.091758,6622.686888,9076.139835,3537.14493,9.4090975,5204.300539,3453.131972,8256.53,4478.926,6265.569378,7405.086353,7794.43,2908.996799,6313.29,8125.69443,4493.030573,5540.162,6420.2598,9828.505,7895.840339,4039.254484,2912.42604,6971.419332,4897.803685,7988.516391,38983.42,5214.887,4.260355,5658.826,3309.69119,4027.957547,4169.23997,4493.679,4861.174655,245.64114,9431.554,12346.9991,10990.69845,4369.031831,3220.056417,2164.055191,4672.454209,2682.467146,881.2245403
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5438.41552,6210.558251,3362.216211,13205.9153,10396.76877,8371.85,46280.5,62461.95,10197.59123,5178.431461,9263.298959,2914.558132,9328.688771,15825.23014,4004.969357,10898.70856,6734.397932,11319.44,5564.119203,11228.38009,5547.539,8878.170418,13536.1111,16733.95024,7722.567864,17.3197383,7223.680283,11643.81763,9084.102,12423.31,12900.05341,14095.12413,18594.93,5094.620741,6586.381,9474.668959,10440.73904,10313.18,13668.92224,20079.5,11985.12731,4172.993626,3153.019763,17104.16126,12054.40833,14367.76956,55025.65,12373.44,14.084905,5990.036,6864.473348,4241.132079,6829.198438,7700.734,9590.611081,335.679959,9769.040819,17619.77845,11907.62596,11531.04095,6473.222388,4684.116218,10834.08784,6639.937072,1029.430812
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),3432.299756,3365.665868,3094.240696,17929.2013,15204.13375,11667.49,64686.16,70664.9,3078.102415,3030.364203,9235.269794,2347.283267,12116.97248,21986.38625,5600.362765,15453.35486,9578.972416,16092.58,3668.023698,2052.150764,5499.652,12804.93817,17164.25297,22260.42741,10869.88006,18.0754218,4499.895657,5989.58091,11499.49,17539.48,17691.59919,18786.90811,26533.31,4494.253351,7071.805,10777.57595,14441.17444,14204.08,19234.1562,28384.08,3499.735654,4721.067048,3850.182081,24045.79495,17368.89217,20364.76885,69700.25,17802.21,4.086309,3676.988,4550.748166,4034.23482,8718.816516,9991.398,13167.93345,72.081689,8385.99438,14119.18531,9391.188387,16575.60405,8526.715109,6387.434693,14356.53568,9601.321192,1295.474053
galactose degradation I (Leloir pathway),804.098822,2507.675912,402.802362,67.768538,2.999447,53.79485,42.97856,131.8614,9293.302938,82.880829,9100.054203,241.634758,233.735278,152.081794,315.082778,22.926599,23.28988,84.10447,235.641856,334.922677,138.2618,219.549169,41.916075,47.898631,33.904874,8.7183749,129.781255,3323.798124,680.4911,976.7187,33.945477,51.201015,77.88337,3216.199733,1799.246,716.751622,69.702144,29.52816,86.555998,176.1337,9364.874389,2916.29153,271.343662,123.928652,23.966569,117.332923,1223.454,64.44551,13.879579,141.7352,561.181194,132.630295,105.688929,66.14392,32.244666,299.527399,3329.724425,22295.19591,1373.897847,74.136791,17.968842,32.586638,21.970629,38.210584,627.5672038
superpathway of vanillin and vanillate degradation,169.82039,3.9485046,208.639844,470.241534,562.985339,166.9173,4490.366,5020.856,237.824669,152.078805,18.623131,65.425307,666.892862,1422.55837,143.130341,886.500969,353.738916,756.1174,250.55746,44.501409,260.1778,623.032615,941.679956,698.052952,527.176922,0,236.330133,80.194228,887.1112,765.9785,854.340243,828.468651,1810.409,9.877137,480.3075,716.799484,699.069642,578.0895,632.830146,722.0845,17.044637,173.702338,245.572524,860.236093,958.779608,542.441325,2733.438,749.4665,0,223.3464,191.925137,247.59487,396.172214,764.4469,637.198464,6.181716,215.421884,69.268362,557.434966,264.294521,712.600877,235.453045,775.6958,490.627849,13.8094331
syringate degradation,1291.064469,0,0,0,0,0,0,0,799.254521,0,280.203188,651.99019,0,1172.86418,0,0,323.216998,0,0,0,0,0,0,737.584816,0,0,2371.754363,0,0,0,0,0,0,0,0,0,0,443.9562,486.565317,0,0,0,0,0,0,0,5499.737,472.1074,0,0,2864.763786,0,0,953.0181,0,0,0,0,2882.247199,0,0,0,0,0,0
purine nucleotides degradation II (aerobic),1365.373198,2748.672589,743.302937,25.619709,292.734845,14.64614,8101.081,4188.187,4598.729484,149.687019,9028.532495,575.989168,539.900059,515.712978,945.263,90.879732,77.454119,45.66422,538.554192,563.3199,200.8659,613.954403,62.087775,116.692313,0,13.6476246,123.287882,4156.769038,1480.062,932.9685,47.516196,394.268258,2231.225,2450.209663,3083.172,1508.045389,240.497598,155.7953,105.618857,345.1204,5279.129918,3752.671011,573.572913,336.44487,263.942533,281.667256,4839.383,134.2784,6.298829,200.6948,1135.398677,195.79381,270.548747,309.873,110.191958,158.036018,5107.303384,16446.32629,3804.425603,121.545771,29.221584,163.345077,478.27211,192.21152,838.4599722
"mono-trans, poly-cis decaprenyl phosphate biosynthesis",15.862371,11.970228,3.985861,0,0,0,0,0,0,1.98899,10.991443,0,0,0,0,0,0,0,7.938788,13.807967,23.5461,1.996698,9.969497,0,0,0,15.718939,5.994749,99.95609,0,1.997181,0,0,17.948056,11.96848,68.799638,0,1.33779,0,50.93027,0,11.972659,13.869802,31.709398,0,0,1.99908,1.996926,3.949488,9.884792,87.085155,25.564884,40.257673,0,0,0,10.981944,15.990139,13.947147,0,0,0,1.998454,11.843636,0
peptidoglycan biosynthesis III (mycobacteria),5293.434365,5321.181722,3264.226364,11029.42892,9383.223673,7264.186,36011.71,51831.08,9700.933143,5042.399931,8469.297716,2818.930417,7381.289586,13388.54104,3464.939279,8549.203036,5886.230237,9755.505,5389.57651,9467.366681,5410.154,7927.660783,10361.70056,13553.11714,6647.731936,16.3221286,6611.356747,9967.698635,8911.277,10674,10804.57025,11137.63862,14954.72,4734.293244,6467.441,9037.375946,8861.507527,8724.665,11846.11578,16969.19,10599.06612,4068.490972,3088.416271,14246.07214,10339.50444,12318.37849,48248.12,10942.8,12.199927,5774.968,6068.455616,4163.909713,5599.595376,6142.719,7979.637037,313.169623,9483.058208,17134.31145,11536.30393,9975.061871,5208.621547,3756.875301,8682.501011,5712.508125,1020.398153
